Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    297.78     0.00       65     0.00     0.00  DNSpacket2msg
  0.00    297.78     0.00       65     0.00     0.00  dns_msg_destroy
  0.00    297.78     0.00       65     0.00     0.00  dns_parse
  0.00    297.78     0.00       65     0.00     0.00  dns_question_parse
  0.00    297.78     0.00       52     0.00     0.00  KadC_getextIP
  0.00    297.78     0.00       48     0.00     0.00  KadC_gettoken
  0.00    297.78     0.00       48     0.00     0.00  get_new_token
  0.00    297.78     0.00       48     0.00     0.00  make_token
  0.00    297.78     0.00       48     0.00     0.00  udp_send
  0.00    297.78     0.00       42     0.00     0.00  emit
  0.00    297.78     0.00       40     0.00     0.00  DNSreply
  0.00    297.78     0.00       30     0.00     0.00  local_strndup
  0.00    297.78     0.00       30     0.00     0.00  print_nstring
  0.00    297.78     0.00       29     0.00     0.00  DNSmsg2packet
  0.00    297.78     0.00       29     0.00     0.00  dns_pack
  0.00    297.78     0.00       29     0.00     0.00  dns_question_pack
  0.00    297.78     0.00       29     0.00     0.00  nstrcasecmp
  0.00    297.78     0.00       27     0.00     0.00  sendOvernetPublish
  0.00    297.78     0.00       25     0.00     0.00  dns_rr_pack
  0.00    297.78     0.00       23     0.00     0.00  getulongle
  0.00    297.78     0.00       21     0.00     0.00  MD4_update
  0.00    297.78     0.00       20     0.00     0.00  decodenext
  0.00    297.78     0.00       20     0.00     0.00  is_a_local_address
  0.00    297.78     0.00       20     0.00     0.00  replyPTR
  0.00    297.78     0.00       20     0.00     0.00  reverse_inet_addr
  0.00    297.78     0.00       18     0.00     0.00  is_in
  0.00    297.78     0.00       15     0.00     0.00  DNSpacket_qi_eq
  0.00    297.78     0.00       15     0.00     0.00  create_pending_entry
  0.00    297.78     0.00       15     0.00     0.00  end_is_in
  0.00    297.78     0.00       14     0.00     0.00  getstringmetavalue
  0.00    297.78     0.00       12     0.00     0.00  predicate
  0.00    297.78     0.00       12     0.00     0.00  specialtagname
  0.00    297.78     0.00       10     0.00     0.00  raw_qa_destroy
  0.00    297.78     0.00        8     0.00     0.00  DNSquery
  0.00    297.78     0.00        8     0.00     0.00  KadCtag_begin
  0.00    297.78     0.00        8     0.00     0.00  Overnet_find
  0.00    297.78     0.00        8     0.00     0.00  kobject_new
  0.00    297.78     0.00        8     0.00     0.00  kstore_new
  0.00    297.78     0.00        7     0.00     0.00  MD4
  0.00    297.78     0.00        7     0.00     0.00  MD4_digest
  0.00    297.78     0.00        7     0.00     0.00  MD4_init
  0.00    297.78     0.00        7     0.00     0.00  s_filter
  0.00    297.78     0.00        6     0.00     0.00  KadC_find
  0.00    297.78     0.00        6     0.00     0.00  KadC_parsefilter
  0.00    297.78     0.00        6     0.00     0.00  KadCtag_find
  0.00    297.78     0.00        6     0.00     0.00  KadCtag_next
  0.00    297.78     0.00        6     0.00     0.00  expr
  0.00    297.78     0.00        6     0.00     0.00  kobject_destroy
  0.00    297.78     0.00        6     0.00     0.00  putnstring
  0.00    297.78     0.00        6     0.00     0.00  s_filter_dump
  0.00    297.78     0.00        6     0.00     0.00  term
  0.00    297.78     0.00        6     0.00     0.00  trim_qa_rbt
  0.00    297.78     0.00        5     0.00     0.00  kstore_insert
  0.00    297.78     0.00        3     0.00     0.00  print_mtag
  0.00    297.78     0.00        3     0.00     0.00  putmeta
  0.00    297.78     0.00        3     0.00     0.00  putmetaname
  0.00    297.78     0.00        3     0.00     0.00  replyA
  0.00    297.78     0.00        2     0.00     0.00  KadCdictionary_destroy
  0.00    297.78     0.00        2     0.00     0.00  KadCdictionary_dump
  0.00    297.78     0.00        2     0.00     0.00  findsection
  0.00    297.78     0.00        2     0.00     0.00  int128print
  0.00    297.78     0.00        2     0.00     0.00  kstore_destroy
  0.00    297.78     0.00        2     0.00     0.00  qa_rbt_destroy
  0.00    297.78     0.00        1     0.00     0.00  KadC_init_network
  0.00    297.78     0.00        1     0.00     0.00  KadC_list_outstanding_mallocs
  0.00    297.78     0.00        1     0.00     0.00  KadC_republish
  0.00    297.78     0.00        1     0.00     0.00  KadC_start
  0.00    297.78     0.00        1     0.00     1.02  KadC_stop
  0.00    297.78     0.00        1     0.00     0.00  KadC_strdup
  0.00    297.78     0.00        1     0.00     0.00  destroy_kba
  0.00    297.78     0.00        1     0.00     0.00  endreplacesection
  0.00    297.78     0.00        1     0.00     0.00  kobject_dump
  0.00    297.78     0.00        1     0.00     0.00  make_kobject
  0.00    297.78     0.00        1     0.00     0.00  overnet_kboot
  0.00    297.78     0.00        1     0.00     0.00  overnet_republishnow
  0.00    297.78     0.00        1     0.00     0.00  overnetinifileread
  0.00    297.78     0.00        1     0.00     0.02  overnetinifileupdate
  0.00    297.78     0.00        1     0.00     0.00  putulongle
  0.00    297.78     0.00        1     0.00     0.00  sendOvernetIpReq
  0.00    297.78     0.00        1     0.00     0.00  setup_kba
  0.00    297.78     0.00        1     0.00     0.00  startKadEngine
  0.00    297.78     0.00        1     0.00     0.00  startRTP
